date,n
2024-12-20,6
2024-12-23,3
2024-12-30,1
2025-01-01,1
2025-01-02,35
2025-01-05,1
2025-01-06,20
2025-01-09,33
2025-01-10,1
2025-01-12,1
2025-01-13,91
2025-01-14,53
2025-01-15,61
2025-01-16,3
2025-01-24,54
2025-01-27,110
2025-01-28,1
2025-02-03,56
2025-02-05,3
2025-04-12,3
2025-04-14,4
2025-04-15,8
2025-04-16,7
2025-04-17,5
2025-04-18,7
2025-04-19,6
2025-04-20,7
2025-04-21,7
2025-04-22,7
2025-04-23,4
2025-04-24,2
2025-04-25,2
2025-04-28,6
2025-04-29,14
2025-04-30,10
2025-05-01,9
2025-05-02,19
2025-05-03,38
2025-05-04,82
2025-05-05,10
2025-05-06,15
2025-05-07,13
2025-05-08,22
2025-05-09,33
2025-05-12,42
2025-06-03,17
2025-06-04,29
2025-07-04,31
2025-07-05,31
2025-07-07,16
2025-07-08,20
2025-07-09,28
2025-07-10,10
2025-07-11,12
2025-07-12,3
2025-07-13,15
2025-07-15,41
2025-07-16,35
2025-07-17,43
2025-07-18,18
2025-07-21,4
2025-07-22,1
2025-07-23,16
2025-07-24,32
2025-07-28,4
2025-07-29,2
2025-07-30,10
2025-07-31,27
2025-08-01,1
2025-08-04,44
2025-08-05,1
2025-08-06,54
2025-08-19,14
2025-08-20,10
2025-08-21,36
2025-08-22,3
2025-08-23,1
2025-08-24,4
2025-08-25,30
2025-08-28,11
2025-08-29,26
2025-09-01,6
2025-09-02,53
2025-09-03,29
2025-09-04,55
2025-09-05,7
2025-09-09,14
2025-09-10,69
2025-09-11,23
2025-09-12,2
2025-09-15,27
2025-09-16,47
2025-09-17,46
2025-09-18,10
2025-09-19,54
2025-09-23,24
2025-09-24,23
2025-09-25,154
2025-09-26,90
2025-09-27,29
2025-09-29,9
2025-09-30,23
2025-10-01,14
2025-10-02,26
2025-10-03,20
2025-10-06,23
2025-10-07,7
2025-10-09,20
2025-10-10,29
2025-10-16,16
2025-10-20,8
2025-10-28,17
2025-11-03,4
2025-11-04,4
2025-11-05,11
2025-11-06,24
2025-11-11,5
2025-11-12,23
2025-11-13,42
2025-11-14,8
2025-11-17,14
2025-11-18,27
2025-11-19,25
2025-11-20,61
2025-11-21,52
2025-11-25,1
2025-11-26,16
2025-11-27,82
2025-11-28,28
2025-11-29,67
2025-11-30,87
2025-12-01,66
2025-12-02,39
2025-12-03,18
2025-12-04,38
2025-12-05,157
2025-12-06,156
2025-12-08,5
2025-12-09,54
2025-12-10,166
2025-12-11,70
2025-12-12,316
2025-12-16,248
2025-12-17,11
2025-12-18,240
2025-12-19,8
2026-01-05,17
2026-01-06,3
2026-01-07,23
2026-01-08,8
2026-01-10,8
2026-01-12,8
2026-01-13,8
2026-01-14,4
2026-01-16,1
2026-01-17,6
2026-01-18,5
2026-01-19,19
2026-01-20,24
2026-01-21,20
2026-01-22,24
2026-01-23,11
2026-01-24,16
2026-01-25,26
2026-01-26,10
2026-01-27,7
2026-01-28,1
2026-01-29,14
2026-01-30,1
2026-01-31,2
2026-02-01,2
2026-02-02,2
2026-02-03,1
2026-02-04,1
2026-02-05,6
2026-02-06,14
2026-02-07,23
2026-02-08,19
2026-02-09,49
2026-02-10,42
2026-02-11,36
2026-02-12,17
2026-02-13,25
2026-02-14,27
